Dimension,Scenario,Method,N_Datasets,Is_Null,Power_Pct,FPR_Pct,MAE_Codons,Exact_Pct,Within_1Codon_Pct,Within_3Codon_Pct,Taxon_Accuracy_Pct,Runtime_ms
Dimension A: Null Controls,null_homogeneous,rhizaeon_embed_static,50,True,,0.0,,,,,100.0,44.26529257999994
Dimension A: Null Controls,null_homogeneous,rhizaeon_scalar,50,True,,18.0,,,,,82.0,25.39360833999994
Dimension A: Null Controls,null_homogeneous,three_seq,50,True,,2.0,,,,,98.0,84.57362666000013
Dimension A: Null Controls,null_selection,rhizaeon_embed_contextual,50,True,,0.0,,,,,100.0,431.76887748000166
Dimension A: Null Controls,null_selection,rhizaeon_embed_static,50,True,,0.0,,,,,100.0,44.80701587999974
Dimension A: Null Controls,null_selection,rhizaeon_scalar,50,True,,10.0,,,,,90.0,27.30144410000002
Dimension A: Null Controls,null_selection,three_seq,50,True,,0.0,,,,,100.0,88.54289239999953
Dimension A: Null Controls,null_srv_mild,rhizaeon_embed_contextual,50,True,,10.0,,,,,90.0,441.2415008400001
Dimension A: Null Controls,null_srv_mild,rhizaeon_embed_static,50,True,,4.0,,,,,96.0,44.57209915999908
Dimension A: Null Controls,null_srv_mild,rhizaeon_scalar,50,True,,20.0,,,,,80.0,27.50305166000013
Dimension A: Null Controls,null_srv_mild,three_seq,50,True,,4.0,,,,,96.0,85.47887840000027
Dimension A: Null Controls,null_srv_strong,rhizaeon_embed_contextual,50,True,,0.0,,,,,100.0,453.31337170000035
Dimension A: Null Controls,null_srv_strong,rhizaeon_embed_static,50,True,,2.0,,,,,98.0,44.98482910000034
Dimension A: Null Controls,null_srv_strong,rhizaeon_scalar,50,True,,18.0,,,,,82.0,27.73127917999847
Dimension A: Null Controls,null_srv_strong,three_seq,50,True,,0.0,,,,,100.0,90.44325593999844
Dimension C: Tract Architecture,quad_mosaic,rhizaeon_embed_contextual,50,False,100.0,,0.82,46.0,82.0,98.0,100.0,520.0503951200023
