donor_divergence,scenario,is_complete_ghost,event_power_pct,dual_bp_power_pct,breakpoint_mae_nt,max_z,runtime_ms
0.0,0% Drift,False,85.0,30.0,10.558823529411764,3.90233295358547,31.775929249999944
0.0,100% Clade Missing,True,0.0,0.0,,0.0,17.867295849999998
0.01,1% Drift,False,95.0,65.0,10.973684210526315,5.029390988159509,34.45322289999985
0.03,3% Drift,False,100.0,60.0,16.35,5.6660942351884485,35.88567499999989
0.05,5% Drift,False,95.0,75.0,19.710526315789473,8.0130112376019,33.32901455000012
0.1,10% Drift,False,35.0,0.0,18.714285714285715,1.578781139396627,25.59613549999984
