experiment,donor_divergence,is_complete_ghost,rep_idx,detected,rec_matched,pwr_any,pwr_both,mae,max_z,runtime_ms
ghost,0.05,False,2,True,True,1.0,1.0,8.0,8.087061669677041,33.12991700000012
ghost,0.05,False,3,True,True,1.0,1.0,6.5,5.239443992945228,33.82908400000062
ghost,0.05,False,4,True,True,1.0,1.0,21.0,8.727376293408026,33.967667000000645
ghost,0.05,False,5,True,True,1.0,0.0,88.0,6.132697613684329,35.03654200000028
ghost,0.05,False,6,True,True,1.0,1.0,19.0,9.084057554392151,32.80087499999951
ghost,0.05,False,7,True,True,1.0,1.0,18.5,7.015692370812631,32.92541599999943
ghost,0.05,False,8,True,True,1.0,1.0,13.0,6.8894081068687285,32.06033300000044
ghost,0.05,False,10,True,True,1.0,1.0,7.0,11.651760968086254,34.89925000000049
ghost,0.05,False,9,True,True,1.0,0.0,48.0,9.338013642402585,34.71808299999957
ghost,0.05,False,11,True,True,1.0,1.0,9.0,4.509586733690621,33.52070900000115
ghost,0.05,False,12,True,True,1.0,1.0,19.0,7.8742413967185545,34.46691600000129
ghost,0.05,False,13,True,True,1.0,0.0,6.0,14.08713708876814,36.923625000000015
ghost,0.05,False,14,True,True,1.0,1.0,10.5,10.334890599600948,34.91583299999945
ghost,0.05,False,16,False,False,0.0,0.0,,0.0,19.12674999999986
ghost,0.05,False,15,True,True,1.0,1.0,25.5,8.66236528793012,33.94150000000096
ghost,0.05,False,17,True,True,1.0,1.0,9.5,7.672629326315152,32.60395799999927
ghost,0.05,False,18,True,True,1.0,1.0,5.0,9.053544427056364,34.3579579999993
ghost,0.05,False,19,True,True,1.0,1.0,15.0,8.737253417086055,34.92633299999959
ghost,0.1,False,0,False,False,0.0,0.0,,0.0,20.15879199999837
ghost,0.1,False,2,True,True,1.0,0.0,4.0,3.951838400763407,36.54087500000003
ghost,0.1,False,1,False,False,0.0,0.0,,0.0,20.102875000000964
ghost,0.1,False,3,False,False,0.0,0.0,,0.0,20.1506250000012
ghost,0.1,False,5,False,False,0.0,0.0,,0.0,19.93395899999939
ghost,0.1,False,4,False,False,0.0,0.0,,0.0,20.005041000001
ghost,0.1,False,6,True,True,1.0,0.0,25.0,3.586904158374065,38.07329199999998
ghost,0.1,False,7,True,True,1.0,0.0,19.0,3.9966348397934115,34.608541999999076
ghost,0.1,False,8,False,False,0.0,0.0,,0.0,19.538292000000013
ghost,0.1,False,9,True,True,1.0,0.0,6.0,5.783820735323885,37.97533300000033
ghost,0.1,False,11,False,False,0.0,0.0,,0.0,20.50041699999916
ghost,0.1,False,10,True,True,1.0,0.0,4.0,6.662323761020652,36.10316700000027
ghost,0.1,False,12,False,False,0.0,0.0,,0.0,19.414417000000128
ghost,0.1,False,13,False,False,0.0,0.0,,0.0,18.702457999999922
ghost,0.1,False,14,False,False,0.0,0.0,,0.0,18.938916999999833
ghost,0.1,False,15,False,False,0.0,0.0,,0.0,19.358125000000115
ghost,0.1,False,16,False,False,0.0,0.0,,0.0,19.700500000000787
ghost,0.1,False,17,True,True,1.0,0.0,4.0,3.794895477489865,36.47258299999834
ghost,0.1,False,18,False,False,0.0,0.0,,0.0,19.714374999999507
ghost,0.1,False,19,True,True,1.0,0.0,69.0,3.7992054151672514,35.93012499999837
ghost,0.0,True,0,False,False,0.0,0.0,,0.0,18.243374999999062
ghost,0.0,True,1,False,False,0.0,0.0,,0.0,17.411750000000836
ghost,0.0,True,2,False,False,0.0,0.0,,0.0,17.411000000000953
ghost,0.0,True,3,False,False,0.0,0.0,,0.0,17.660125000000804
ghost,0.0,True,4,False,False,0.0,0.0,,0.0,18.167625000000243
ghost,0.0,True,5,False,False,0.0,0.0,,0.0,18.347249999999704
ghost,0.0,True,6,False,False,0.0,0.0,,0.0,17.98508399999932
ghost,0.0,True,7,False,False,0.0,0.0,,0.0,18.797624999999485
ghost,0.0,True,8,False,False,0.0,0.0,,0.0,18.322833000000927
ghost,0.0,True,9,False,False,0.0,0.0,,0.0,18.020375000000755
ghost,0.0,True,10,False,False,0.0,0.0,,0.0,17.394666999999586
ghost,0.0,True,11,False,False,0.0,0.0,,0.0,17.771708000001496
ghost,0.0,True,12,False,False,0.0,0.0,,0.0,18.634000000000484
ghost,0.0,True,13,False,False,0.0,0.0,,0.0,18.031750000000457
ghost,0.0,True,14,False,False,0.0,0.0,,0.0,17.836874999998642
ghost,0.0,True,15,False,False,0.0,0.0,,0.0,17.8753339999993
ghost,0.0,True,16,False,False,0.0,0.0,,0.0,17.62066599999912
ghost,0.0,True,17,False,False,0.0,0.0,,0.0,17.434457999998543
ghost,0.0,True,18,False,False,0.0,0.0,,0.0,17.425333000000265
ghost,0.0,True,19,False,False,0.0,0.0,,0.0,16.95408399999998
