global_idx,scenario_id,category,rep_idx,seed,n_taxa,length_nt,theta,rho,beta,alpha,is_recombinant,num_true_trees,num_true_bps,segregating_sites,informative_sites,rhiz_detected,rhiz_num_bps,rhiz_bps,rhiz_time_ms,phi_p_val,phi_detected,maxchi_p_val,maxchi_detected,nss_p_val,nss_detected,phi_suite_time_ms,three_p_val,three_detected,three_time_ms,total_time_ms
26,power_n10_th5_rho1,power,26,20266695,10,1000,5.0,1.0,0.0,inf,True,3,2,12,2,False,0,,5.92,1.0,False,1.0,False,1.0,False,16.71,1.0,False,29.46,62.49
27,power_n10_th5_rho1,power,27,20274614,10,1000,5.0,1.0,0.0,inf,True,3,2,15,12,False,0,,7.34,1.0,False,0.267,False,1.0,False,16.54,1.0,False,34.64,69.07
28,power_n10_th5_rho1,power,28,20282533,10,1000,5.0,1.0,0.0,inf,True,3,2,8,6,False,0,,4.41,1.0,False,0.925,False,1.0,False,15.51,1.0,False,33.65,64.78
29,power_n10_th5_rho1,power,29,20290452,10,1000,5.0,1.0,0.0,inf,True,3,2,14,10,False,0,,5.04,1.0,False,0.696,False,1.0,False,17.31,1.0,False,33.53,66.0
30,power_n10_th5_rho1,power,30,20298371,10,1000,5.0,1.0,0.0,inf,True,4,3,19,12,False,0,,4.91,1.0,False,0.978,False,1.0,False,17.85,1.0,False,32.6,64.74
31,power_n10_th5_rho1,power,31,20306290,10,1000,5.0,1.0,0.0,inf,False,1,0,7,3,False,0,,3.58,1.0,False,1.0,False,1.0,False,14.47,1.0,False,32.54,59.49
32,power_n10_th5_rho1,power,32,20314209,10,1000,5.0,1.0,0.0,inf,True,4,3,10,5,False,0,,5.1,1.0,False,1.0,False,1.0,False,16.1,1.0,False,25.57,57.4
33,power_n10_th5_rho1,power,33,20322128,10,1000,5.0,1.0,0.0,inf,True,4,3,8,5,False,0,,5.26,1.0,False,0.926,False,1.0,False,14.38,1.0,False,21.52,54.66
34,power_n10_th5_rho1,power,34,20330047,10,1000,5.0,1.0,0.0,inf,True,2,1,7,1,False,0,,3.14,1.0,False,1.0,False,1.0,False,14.86,1.0,False,19.22,47.04
35,power_n10_th5_rho1,power,35,20337966,10,1000,5.0,1.0,0.0,inf,True,5,4,23,13,False,0,,6.47,0.177,False,0.593,False,0.036,True,18.07,1.0,False,30.04,64.65
36,power_n10_th5_rho1,power,36,20345885,10,1000,5.0,1.0,0.0,inf,True,5,4,15,4,False,0,,6.15,1.0,False,0.901,False,1.0,False,15.93,1.0,False,30.02,62.11
37,power_n10_th5_rho1,power,37,20353804,10,1000,5.0,1.0,0.0,inf,False,1,0,14,6,False,0,,5.13,1.0,False,0.118,False,1.0,False,16.28,1.0,False,30.23,62.27
38,power_n10_th5_rho1,power,38,20361723,10,1000,5.0,1.0,0.0,inf,True,5,4,18,13,False,0,,5.37,1.0,False,0.248,False,1.0,False,18.11,1.0,False,30.07,64.74
39,power_n10_th5_rho1,power,39,20369642,10,1000,5.0,1.0,0.0,inf,True,4,3,24,11,False,0,,5.76,1.0,False,0.611,False,1.0,False,19.22,1.0,False,30.66,65.24
40,power_n10_th5_rho1,power,40,20377561,10,1000,5.0,1.0,0.0,inf,True,2,1,10,3,False,0,,4.41,1.0,False,1.0,False,1.0,False,16.91,1.0,False,25.36,56.54
41,power_n10_th5_rho1,power,41,20385480,10,1000,5.0,1.0,0.0,inf,True,3,2,8,0,False,0,,3.61,1.0,False,1.0,False,1.0,False,15.2,1.0,False,25.63,53.08
42,power_n10_th5_rho1,power,42,20393399,10,1000,5.0,1.0,0.0,inf,True,4,3,23,17,False,0,,8.44,1.0,False,0.062,False,1.0,False,19.87,1.0,False,23.18,60.96
43,power_n10_th5_rho1,power,43,20401318,10,1000,5.0,1.0,0.0,inf,True,5,4,18,6,False,0,,5.07,1.0,False,0.804,False,1.0,False,18.06,1.0,False,34.8,68.63
44,power_n10_th5_rho1,power,44,20409237,10,1000,5.0,1.0,0.0,inf,True,7,6,15,7,False,0,,5.56,0.164,False,0.811,False,0.106,False,16.92,1.0,False,32.41,66.4
45,power_n10_th5_rho1,power,45,20417156,10,1000,5.0,1.0,0.0,inf,True,4,3,12,8,False,0,,5.06,0.382,False,0.854,False,0.463,False,16.05,1.0,False,31.64,62.45
46,power_n10_th5_rho1,power,46,20425075,10,1000,5.0,1.0,0.0,inf,True,3,2,9,4,False,0,,3.15,1.0,False,0.757,False,1.0,False,15.13,1.0,False,33.72,62.37
47,power_n10_th5_rho1,power,47,20432994,10,1000,5.0,1.0,0.0,inf,True,2,1,3,0,False,0,,2.02,1.0,False,1.0,False,1.0,False,13.64,1.0,False,35.83,61.13
48,power_n10_th5_rho1,power,48,20440913,10,1000,5.0,1.0,0.0,inf,True,5,4,19,4,False,0,,5.45,1.0,False,0.667,False,1.0,False,19.28,1.0,False,25.67,60.44
49,power_n10_th5_rho1,power,49,20448832,10,1000,5.0,1.0,0.0,inf,True,3,2,11,7,False,0,,4.78,1.0,False,0.742,False,1.0,False,16.8,1.0,False,27.25,59.06
50,power_n10_th5_rho4,power,0,20456751,10,1000,5.0,4.0,0.0,inf,True,12,11,11,1,False,0,,6.13,1.0,False,1.0,False,1.0,False,16.87,1.0,False,22.0,55.35
51,power_n10_th5_rho4,power,1,20464670,10,1000,5.0,4.0,0.0,inf,True,7,6,8,3,False,0,,6.66,1.0,False,1.0,False,1.0,False,15.29,1.0,False,25.94,58.51
52,power_n10_th5_rho4,power,2,20472589,10,1000,5.0,4.0,0.0,inf,True,17,16,25,18,True,1,532,10.72,5.9e-05,True,0.047,True,0.0,True,20.2,1.0,False,29.36,70.95
53,power_n10_th5_rho4,power,3,20480508,10,1000,5.0,4.0,0.0,inf,True,8,7,8,5,False,0,,4.96,1.0,False,0.427,False,1.0,False,16.33,1.0,False,29.27,61.28
54,power_n10_th5_rho4,power,4,20488427,10,1000,5.0,4.0,0.0,inf,True,9,8,13,9,True,1,495,11.49,0.0262,True,0.199,False,0.001,True,17.02,1.0,False,29.05,68.6
55,power_n10_th5_rho4,power,5,20496346,10,1000,5.0,4.0,0.0,inf,True,8,7,12,6,False,0,,5.69,1.0,False,0.965,False,1.0,False,16.12,1.0,False,31.95,64.58
56,power_n10_th5_rho4,power,6,20504265,10,1000,5.0,4.0,0.0,inf,True,3,2,5,3,False,0,,2.98,1.0,False,1.0,False,1.0,False,16.53,1.0,False,26.67,56.57
57,power_n10_th5_rho4,power,7,20512184,10,1000,5.0,4.0,0.0,inf,True,13,12,16,9,False,0,,5.21,1.0,False,0.19,False,1.0,False,16.63,1.0,False,25.53,58.19
58,power_n10_th5_rho4,power,8,20520103,10,1000,5.0,4.0,0.0,inf,True,17,16,20,15,False,0,,6.54,0.0729,False,0.436,False,0.082,False,19.39,1.0,False,22.42,59.92
59,power_n10_th5_rho4,power,9,20528022,10,1000,5.0,4.0,0.0,inf,True,15,14,16,11,False,0,,6.16,1.0,False,0.489,False,1.0,False,18.08,1.0,False,22.96,57.53
60,power_n10_th5_rho4,power,10,20535941,10,1000,5.0,4.0,0.0,inf,True,8,7,13,11,False,0,,4.74,1.0,False,0.732,False,1.0,False,16.07,1.0,False,24.34,55.46
61,power_n10_th5_rho4,power,11,20543860,10,1000,5.0,4.0,0.0,inf,True,9,8,16,11,True,1,396,7.74,1.0,False,0.078,False,1.0,False,19.14,1.0,False,30.06,66.83
62,power_n10_th5_rho4,power,12,20551779,10,1000,5.0,4.0,0.0,inf,True,7,6,23,7,False,0,,6.66,1.0,False,0.904,False,1.0,False,18.77,1.0,False,32.2,67.8
63,power_n10_th5_rho4,power,13,20559698,10,1000,5.0,4.0,0.0,inf,True,7,6,23,18,False,0,,5.08,1.0,False,0.697,False,1.0,False,18.85,1.0,False,31.18,65.72
64,power_n10_th5_rho4,power,14,20567617,10,1000,5.0,4.0,0.0,inf,True,10,9,13,9,False,0,,4.26,0.21,False,0.996,False,0.702,False,15.32,1.0,False,31.61,60.98
65,power_n10_th5_rho4,power,15,20575536,10,1000,5.0,4.0,0.0,inf,True,13,12,11,3,False,0,,5.57,1.0,False,0.964,False,1.0,False,16.11,1.0,False,30.92,62.02
66,power_n10_th5_rho4,power,16,20583455,10,1000,5.0,4.0,0.0,inf,True,19,18,22,19,False,0,,5.48,1.0,False,0.643,False,1.0,False,20.74,1.0,False,23.1,59.01
67,power_n10_th5_rho4,power,17,20591374,10,1000,5.0,4.0,0.0,inf,True,16,15,8,5,False,0,,5.12,1.0,False,0.783,False,1.0,False,16.94,1.0,False,26.07,59.03
68,power_n10_th5_rho4,power,18,20599293,10,1000,5.0,4.0,0.0,inf,True,2,1,7,2,False,0,,6.44,1.0,False,1.0,False,1.0,False,15.37,1.0,False,23.77,56.36
69,power_n10_th5_rho4,power,19,20607212,10,1000,5.0,4.0,0.0,inf,True,11,10,29,22,False,0,,6.94,0.012,True,0.242,False,0.014,True,20.94,1.0,False,32.75,72.2
