genome_idx,true_bp_num,noise_lv,rh_ok,rh_pred_cand,m0,m1,m2,delta_1,delta_2,pred_bp_num,is_recombinant_true,is_recombinant_pred,correct_model,pred_bp1,ci1_left,ci1_right,pred_bp2,ci2_left,ci2_right,bp1_in_interval,bp2_in_interval,both_in_interval,spatial_err_bp1,spatial_err_bp2,mean_spatial_err_nt,runtime_ms
40,1,0,True,BA.2 + AY.45,62,84,83,22,-1,1,True,True,True,26422.0,26269.0,26575.0,,,,True,False,False,0.0,,0.0,2.04
41,1,0,True,BA.2 + AY.45,5,84,83,79,-1,1,True,True,True,4251.0,4183.0,4319.0,,,,True,False,False,0.0,,0.0,1.95
42,1,0,True,BA.2 + AY.45,75,84,83,9,-1,1,True,True,True,28290.0,28270.0,28309.0,,,,True,False,False,0.0,,0.0,1.96
43,1,0,True,BA.2 + AY.45,5,84,83,79,-1,1,True,True,True,4251.0,4183.0,4319.0,,,,True,False,False,0.0,,0.0,1.91
44,1,0,True,BA.2 + AY.45,41,84,83,43,-1,1,True,True,True,22898.0,22881.0,22915.0,,,,True,False,False,0.0,,0.0,1.92
45,1,0,True,BA.2 + AY.45,74,84,83,10,-1,1,True,True,True,28071.0,27873.0,28269.0,,,,True,False,False,0.0,,0.0,1.96
46,1,0,True,BA.2 + AY.45,26,84,83,58,-1,1,True,True,True,18690.0,18162.0,19218.0,,,,True,False,False,0.0,,0.0,1.93
47,1,0,True,BA.2 + AY.45,67,84,83,17,-1,1,True,True,True,27319.0,27258.0,27380.0,,,,True,False,False,0.0,,0.0,1.95
48,1,0,True,BA.2 + AY.45,60,84,83,24,-1,1,True,True,True,25820.0,25583.0,26058.0,,,,True,False,False,0.0,,0.0,1.99
49,1,0,True,BA.2 + AY.45,42,84,83,42,-1,1,True,True,True,22953.0,22916.0,22990.0,,,,True,False,False,0.0,,0.0,2.05
50,1,0,True,BA.2 + AY.45,52,84,83,32,-1,1,True,True,True,23900.0,23853.0,23946.0,,,,True,False,False,0.0,,0.0,2.02
51,1,0,True,BA.2 + AY.45,63,84,83,21,-1,1,True,True,True,26642.0,26576.0,26707.0,,,,True,False,False,0.0,,0.0,2.0
52,1,0,True,BA.2 + AY.45,40,84,83,44,-1,1,True,True,True,22846.0,22812.0,22880.0,,,,True,False,False,0.0,,0.0,2.0
53,1,0,True,BA.2 + AY.45,22,84,83,62,-1,1,True,True,True,15581.0,15450.0,15712.0,,,,True,False,False,0.0,,0.0,1.95
54,1,0,True,BA.2 + AY.45,34,84,83,50,-1,1,True,True,True,22675.0,22673.0,22677.0,,,,True,False,False,0.0,,0.0,1.99
55,1,0,True,BA.2 + AY.45,39,84,83,45,-1,1,True,True,True,22798.0,22785.0,22811.0,,,,True,False,False,0.0,,0.0,1.94
56,1,0,True,BA.2 + AY.45,18,84,83,66,-1,1,True,True,True,11265.0,11200.0,11330.0,,,,True,False,False,0.0,,0.0,1.93
57,1,0,True,BA.2 + AY.45,9,84,83,75,-1,1,True,True,True,9018.0,8985.0,9051.0,,,,True,False,False,0.0,,0.0,1.96
58,1,0,True,BA.2 + AY.45,47,84,83,37,-1,1,True,True,True,23068.0,23062.0,23073.0,,,,True,False,False,0.0,,0.0,1.99
59,1,0,True,BA.2 + AY.45,67,84,83,17,-1,1,True,True,True,27319.0,27258.0,27380.0,,,,True,False,False,0.0,,0.0,2.06
60,1,0,True,BA.2 + AY.45,25,84,83,59,-1,1,True,True,True,17785.0,17409.0,18161.0,,,,True,False,False,0.0,,0.0,1.98
61,1,0,True,BA.2 + AY.45,73,84,83,11,-1,1,True,True,True,27839.0,27806.0,27872.0,,,,True,False,False,0.0,,0.0,1.95
62,1,0,True,BA.2 + AY.45,59,84,83,25,-1,1,True,True,True,25525.0,25468.0,25582.0,,,,True,False,False,0.0,,0.0,1.97
63,1,0,True,BA.2 + AY.45,49,84,83,35,-1,1,True,True,True,23560.0,23524.0,23597.0,,,,True,False,False,0.0,,0.0,1.98
64,1,0,True,BA.2 + AY.45,17,84,83,67,-1,1,True,True,True,10824.0,10448.0,11199.0,,,,True,False,False,0.0,,0.0,1.97
65,1,0,True,BA.2 + AY.45,20,84,83,64,-1,1,True,True,True,13344.0,12879.0,13810.0,,,,True,False,False,0.0,,0.0,1.97
